location,Followers,Hashtags,Username,Datetime,Text
,45,['PS4live'],Keziah37313013,2022-12-29 23:58:29+00:00,Check out my broadcast from my PlayStation 4! #PS4live (Apex Legends)  live at https://t.co/8Aw6CHp70t
"Miami, FL",557,,l0wqualitytrash,2022-12-29 23:58:09+00:00,@RaziRath @DaPeoplesTroll @PlayApex manz dusted up his account he hasn’t even tweeted from since 2016 just to say all this? https://t.co/rahFGuxC60
Probably on Apex,340,"['Catalyst', 'ApexLegends', 'BrokenMoon']",LegacyofaPro,2022-12-29 23:58:03+00:00,"Catalyst is so much fun :) @ApexLegends #Catalyst #ApexLegends #BrokenMoon  

https://t.co/LDVMrUH1Ti https://t.co/3SC5iv0t6Z"
"New Jersey, USA",4237,['ApexLegends'],K7_Showoff,2022-12-29 23:57:46+00:00,"Im so nasty with the wingman #ApexLegends

🔗 https://t.co/RjjsKiZtfJ https://t.co/oKXJnYQuHd"
São Paulo Brazil,574,"['PlayApex', 'ApexLegends', 'Twitch', 'YouTube']",MauRodCos,2022-12-29 23:57:37+00:00,"[DROPS ON] Quinta, Casuales, brabas!
https://t.co/mImhsegQtw
https://t.co/sh3i0UWmSG
#PlayApex #ApexLegends #Twitch #YouTube"
,362,"['ENVtuber', 'Vtuber', 'ApexLegends', 'GenshinImpact', 'PVP', 'PvE']",DragonBard_Diva,2022-12-29 23:57:31+00:00,"Couldn't decide so lets stir up some Chaos, bring in the short stacks for some good ol fashion pew pew. Apex followed by Genshin later?!

#ENVtuber #Vtuber #ApexLegends #GenshinImpact #PVP #PvE 
https://t.co/T8fQQdpK6g"
,316,"['PS5Share', 'ApexLegends']",tiredkuri,2022-12-29 23:57:24+00:00,"Cant believe this #PS5Share, #ApexLegends https://t.co/diAkBYAeGS"
,13,,ALTxSPACE,2022-12-29 23:57:18+00:00,@PlayApex Are the servers lagging super bad for anyone else?
at uni studying to be a doctor,342,,GetGoodSweetie,2022-12-29 23:56:43+00:00,"@Haalaven @PlayApex Yeah I’m getting valk to 30k my first legend I played this much but I always miss Loba, when I play loba I miss valk 
Just pain here"
she/her 24,339,,grizzcogirl,2022-12-29 23:56:41+00:00,@PlayApex i missed yesterday can i please have the loading screen 🥺 https://t.co/HaLZ9Jm95Y
