location,Followers,Hashtags,Username,Datetime,Text,Original,Unlemmatize
,45,['PS4live'],Keziah37313013,2022-12-29 23:58:29+00:00,"['check', 'broadcast', 'playstation', 'apex', 'legend', 'live']",Check out my broadcast from my PlayStation ! (Apex Legends) live at,check broadcast playstation apex legends live
"Miami, FL",557,,l0wqualitytrash,2022-12-29 23:58:09+00:00,"['manz', 'dusted', 'account', 'tweeted', 'this']",manz dusted up his account he hasnt even tweeted from since just to say all this?,manz dusted account tweeted this 
Probably on Apex,340,"['Catalyst', 'ApexLegends', 'BrokenMoon']",LegacyofaPro,2022-12-29 23:58:03+00:00,"['catalyst', 'fun']",Catalyst is so much fun,catalyst fun
"New Jersey, USA",4237,['ApexLegends'],K7_Showoff,2022-12-29 23:57:46+00:00,"['im', 'nasty', 'wingman']",Im so nasty with the wingman,im nasty wingman
São Paulo Brazil,574,"['PlayApex', 'ApexLegends', 'Twitch', 'YouTube']",MauRodCos,2022-12-29 23:57:37+00:00,"['drop', 'on', 'quinta', 'casuales', 'brabas']","[DROPS ON] Quinta, Casuales, brabas!", drops on quinta casuales brabas 
,362,"['ENVtuber', 'Vtuber', 'ApexLegends', 'GenshinImpact', 'PVP', 'PvE']",DragonBard_Diva,2022-12-29 23:57:31+00:00,"[""couldn't"", 'decide', 'let', 'stir', 'chaos', 'bring', 'short', 'stack', 'good', 'ol', 'fashion', 'pew', 'pew', 'apex', 'followed', 'genshin', 'later']","Couldn't decide so lets stir up some Chaos, bring in the short stacks for some good ol fashion pew pew. Apex followed by Genshin later?!",couldn't decide lets stir chaos bring short stacks good ol fashion pew pew apex followed genshin later 
,316,"['PS5Share', 'ApexLegends']",tiredkuri,2022-12-29 23:57:24+00:00,"['cant', 'believe']","Cant believe this ,",cant believe 
,13,,ALTxSPACE,2022-12-29 23:57:18+00:00,"['are', 'server', 'lagging', 'super', 'bad', 'else']",Are the servers lagging super bad for anyone else?,are servers lagging super bad else 
at uni studying to be a doctor,342,,GetGoodSweetie,2022-12-29 23:56:43+00:00,"['yeah', 'im', 'getting', 'valk', 'k', 'legend', 'i', 'played', 'i', 'miss', 'loba', 'i', 'play', 'loba', 'i', 'miss', 'valk', 'just', 'pain']","Yeah Im getting valk to k my first legend I played this much but I always miss Loba, when I play loba I miss valk Just pain here",yeah im getting valk k legend i played i miss loba i play loba i miss valk just pain
she/her 24,339,,grizzcogirl,2022-12-29 23:56:41+00:00,"['missed', 'yesterday', 'loading', 'screen']",i missed yesterday can i please have the loading screen,missed yesterday loading screen
