Username,Datetime,Text
MrChopLife,2022-12-01 23:59:59+00:00,"I will forever take organic growth over inorganic growth

@tisblvckoreo i celebrate your 19k+ streams for 2022 on #SpotifyWrapped

2023 WE SHALL DO MORE, WAY MUCH MORE!!!"
ReganWalton_TKA,2022-12-01 23:59:57+00:00,"Thanks @eltonofficial for spending 1,794 minutes with me in 2022. I couldn’t stop listening to Cold Heart - PNAU Remix. #SpotifyWrapped https://t.co/XfQ8WzAS04"
TweetingDebbie,2022-12-01 23:59:57+00:00,"Thanks Ramin Djawadi for spending 2,699 minutes with me in 2022. I couldn’t stop listening to The Green Dress. #SpotifyWrapped https://t.co/HscWZ37vMC"
kenzie_mcclain,2022-12-01 23:59:56+00:00,i have never heard of noah kahan he’s on everyone’s spotify wrapped how am i this far out of the loop
JudeJor81741471,2022-12-01 23:59:56+00:00,"Thanks @xxxtentacion for spending 3,196 minutes with me in 2022. I couldn’t stop listening to what are you so afraid of. #SpotifyWrapped https://t.co/YEcjPe6Atc"
ecstatictheater,2022-12-01 23:59:56+00:00,"Thanks LSDREAM for spending 1,447 minutes with me in 2022. I couldn’t stop listening to FOLLOW THE VIBE. #SpotifyWrapped https://t.co/Z2QImamIVJ"
laviniaaabono,2022-12-01 23:59:56+00:00,Grazie Tiziano Ferro per i 629 minuti trascorsi insieme nel 2022. E Fuori E' Buio sempre in loop. Ma sempre sempre. #SpotifyWrapped https://t.co/KK6Szj1k2Y
AlyssaRouso,2022-12-01 23:59:56+00:00,"I hope anyone who has K*nye in their top 5 for Spotify Wrapped finally knows he's a bad person and has never been deep, he's just a profoundly ill and deluded dude, and they stop listening to his music and letting him make money off of their streams."
SEVENTEEN0017_,2022-12-01 23:59:55+00:00,My top artist of 2022. Who was yours? #SpotifyWrapped  https://t.co/a3eqtDpyAI
CollinReich86,2022-12-01 23:59:55+00:00,My top artist of 2022. Who was yours? #SpotifyWrapped  https://t.co/DH8VO2wRJ9
itaecutie,2022-12-01 23:59:55+00:00,@spotify @SpotifyCares please give us the #SpotifyWrapped in venezuela
Shera__97,2022-12-01 23:59:55+00:00,@thvmnk @Spotify @SpotifyCares Hi @Spotify @SpotifyCares We are waiting for your explanation on why you removed “Left and Right” from Jungkook and “My Universe” from BTS on Spotify Wrapped this year. Both songs are equally theirs. Are you really that scared of their power?
trevormason78,2022-12-01 23:59:54+00:00,"Top story: @Skicom: 'Anyone else's wrapped look something like this? #spotifywrapped #tothemountains ' https://t.co/4wajNxQgf8, see more https://t.co/ov5CB2u6rH"
SMPTArmy,2022-12-01 23:59:53+00:00,"Hello @Spotify @SpotifyCares

We would like to know why BTS’ and members’ feat songs have been removed from their streams on Spotify Wrapped? Feats have always counted for the retrospective, and their participation in the songs are as valid’s as the main artists’

Thank you."
BlackBondGirl,2022-12-01 23:59:53+00:00,"My #SpotifyWrapped. 

@Nas @REALDJPREMIER @iamcormega @sza 

@BlackBondGirl #BlackBondGirl #hiphop #randb #soul https://t.co/Bo87fow5oX"
Johnwick5685,2022-12-01 23:59:53+00:00,"Thanks @eminem for spending 1,003 minutes with me in 2022. I couldn’t stop listening to Venom - Music From The Motion Picture. #SpotifyWrapped https://t.co/KZnDlvP7aD"
TakeoverF13,2022-12-01 23:59:52+00:00,"Thanks @juiceworlddd for spending 5,946 minutes with me in 2022. I couldn’t stop listening to Make Believe. #SpotifyWrapped https://t.co/4vgSr5cXcI"
LuanVascon,2022-12-01 23:59:52+00:00,Dei uma derrapada no wrapped do Spotify
TylerBridges01,2022-12-01 23:59:51+00:00,"Thanks @joerogan for being my top podcast on @Spotify this year. I loved all 1,137 minutes of it. #SpotifyWrapped https://t.co/E2ayOBa3DI"
OriginalKevCare,2022-12-01 23:59:50+00:00,Yo my Spotify wrapped kinda sucked but I’m surprised how I listen to Logic so much I’m literally in the 1% lmfao
kmirkive,2022-12-01 23:59:50+00:00,@levijjk Helloooo .@Spotify @SpotifyCares We are waiting for your explanation on why you removed “Left and Right” from Jungkook and “My Universe” from BTS on Spotify Wrapped this year. Both songs are equally theirs. Are you really that scared of their power?
Joy_Got71530,2022-12-01 23:59:50+00:00,"คลั่งรักค่ะ ยอมรับเลย  #SpotifyWrapped 
https://t.co/G70miSzNHZ"
linette_roque,2022-12-01 23:59:49+00:00,"#SpotifyCorrupt @Spotify @SpotifyCares Estamos esperando su explicación sobre por qué eliminó Left and Right de Jungkook y My Universe de BTS en Spotify Wrapped este año. Ambas canciones son igualmente suyas. ¿Existe este tipo de problemas?
Y ambas tienen el mismo reconocimiento"
ingrid_mee,2022-12-01 23:59:49+00:00,Thanks @westlifemusic for spending 477 minutes with me in 2022. I couldn’t stop listening to If I Let You Go - Radio Edit. #SpotifyWrapped https://t.co/EIUkQcO2w6
PeteMusicTweets,2022-12-01 23:59:49+00:00,"Remember when everyone was going to boycott Spotify because their relationship with Joe Rogan? Now that it's wrapped season they're all tweeting their stats. Weird world, man."
